A1,A2,C3,A4,E4,E1,F1
A1,A2,C3,A4,E4,E1,A6
A1,A2,C3,A4,E4,F2,F1
A1,A2,C3,A4,E4,F2,A6
A1,A2,C3,A4,E4,B6,F1
A1,A2,C3,A4,E4,B6,A6
A1,A2,C3,A4,E4,A5,F1
A1,A2,C3,A4,E4,A5,A6
A1,A2,C3,A4,F4,E1,F1
A1,A2,C3,A4,F4,E1,A6
A1,A2,C3,A4,F4,F2,F1
A1,A2,C3,A4,F4,F2,A6
A1,A2,C3,A4,F4,B6,F1
A1,A2,C3,A4,F4,B6,A6
A1,A2,C3,A4,F4,A5,F1
A1,A2,C3,A4,F4,A5,A6
A1,A2,C3,A4,E5,E1,F1
A1,A2,C3,A4,E5,E1,A6
A1,A2,C3,A4,E5,F2,F1
A1,A2,C3,A4,E5,F2,A6
A1,A2,C3,A4,E5,B6,F1
A1,A2,C3,A4,E5,B6,A6
A1,A2,C3,A4,E5,A5,F1
A1,A2,C3,A4,E5,A5,A6
A1,A2,C3,A4,F5,E1,F1
A1,A2,C3,A4,F5,E1,A6
A1,A2,C3,A4,F5,F2,F1
A1,A2,C3,A4,F5,F2,A6
A1,A2,C3,A4,F5,B6,F1
A1,A2,C3,A4,F5,B6,A6
A1,A2,C3,A4,F5,A5,F1
A1,A2,C3,A4,F5,A5,A6
A1,A2,C3,A4,D5,E1,F1
A1,A2,C3,A4,D5,E1,A6
A1,A2,C3,A4,D5,F2,F1
A1,A2,C3,A4,D5,F2,A6
A1,A2,C3,A4,D5,B6,F1
A1,A2,C3,A4,D5,B6,A6
A1,A2,C3,A4,D5,A5,F1
A1,A2,C3,A4,D5,A5,A6
A1,A2,C3,A4,E6,E1,F1
A1,A2,C3,A4,E6,E1,A6
A1,A2,C3,A4,E6,F2,F1
A1,A2,C3,A4,E6,F2,A6
A1,A2,C3,A4,E6,B6,F1
A1,A2,C3,A4,E6,B6,A6
A1,A2,C3,A4,E6,A5,F1
A1,A2,C3,A4,E6,A5,A6
A1,A2,C3,B5,E4,E1,F1
A1,A2,C3,B5,E4,E1,A6
A1,A2,C3,B5,E4,F2,F1
A1,A2,C3,B5,E4,F2,A6
A1,A2,C3,B5,E4,B6,F1
A1,A2,C3,B5,E4,B6,A6
A1,A2,C3,B5,E4,A5,F1
A1,A2,C3,B5,E4,A5,A6
A1,A2,C3,B5,F4,E1,F1
A1,A2,C3,B5,F4,E1,A6
